<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTC.V,D,20230929,000000,27002.22,27240.3,26664.67,26867.04,54547.54618420337,0
BTC.V,D,20230930,000000,26867.03,27094.98,26862.37,27004.69,23111.07548560723,0
BTC.V,D,20231001,000000,27004.68,27289.34,26956.25,27190.25,26236.137866492412,0
BTC.V,D,20231002,000000,27183.1,28495.52,27158.26,27480.2,133384.65461797093,0
BTC.V,D,20231003,000000,27480.2,27671.79,27165,27399.79,63518.53141409021,0
BTC.V,D,20231004,000000,27399.79,27837.2,27213.82,27688.15,57637.33775196995,0
BTC.V,D,20231005,000000,27687.74,28124.54,27358.61,27457.72,67755.76636103347,0
BTC.V,D,20231006,000000,27457.42,28289.65,27197.45,28053.89,69061.35910564585,0
BTC.V,D,20231007,000000,28056.66,28146.21,27858.11,27948.72,26152.871043000618,0
BTC.V,D,20231008,000000,27948.63,28107.34,27710.65,27934.71,28430.07914483412,0
BTC.V,D,20231009,000000,27932.8,27999.13,27322.43,27626,56237.9495629663,0
BTC.V,D,20231010,000000,27627.02,27737.21,27298.82,27428.73,47131.89698004467,0
BTC.V,D,20231011,000000,27428.73,27478.76,26532.04,26720.68,78512.17458355508,0
BTC.V,D,20231012,000000,26720.68,26938.95,26544.12,26749.38,45271.33507789953,0
BTC.V,D,20231013,000000,26749.38,27108.5,26679.25,27013.76,45947.51655547869,0
BTC.V,D,20231014,000000,27012.07,27067.17,26755.19,26819.39,22564.478405464757,0
BTC.V,D,20231015,000000,26818.4,27233.81,26807.45,27180.68,24020.484901307576,0
BTC.V,D,20231016,000000,27180.72,30006.6,27038.45,28435.03,138322.84428259346,0
BTC.V,D,20231017,000000,28435.04,28627.77,28081.5,28497.85,78739.66700115002,0
BTC.V,D,20231018,000000,28490.27,28890.4,28154.42,28276.49,65404.028706704274,0
BTC.V,D,20231019,000000,28272.62,28921.33,28146.89,28615.25,72256.52477964507,0
BTC.V,D,20231020,000000,28615.53,30118.05,28592.29,29627.22,116188.57361671238,0
BTC.V,D,20231021,000000,29627.23,30374.63,29478.03,29999.01,53483.20865046595,0
BTC.V,D,20231022,000000,29999.05,30259.6,29721.96,29760.12,38797.867197161846,0
BTC.V,D,20231023,000000,29760.12,31825.83,29724.68,31646.44,130649.93445998285,0
BTC.V,D,20231024,000000,31646.45,35179.35,31611.43,34138.05,248025.15581552053,0
BTC.V,D,20231025,000000,34121.58,35128.04,33691.39,34560.7,93329.86640026714,0
BTC.V,D,20231026,000000,34560.7,34833.38,33749.33,34114.18,66955.48403671941,0
BTC.V,D,20231027,000000,34114.18,34284.16,33408.01,33847.2,56389.062599184246,0
BTC.V,D,20231028,000000,33847.2,34401.51,33793.92,34195.46,26361.342909755618,0
BTC.V,D,20231029,000000,34195.81,34748.29,33936.45,34714.59,28297.657600787585,0
BTC.V,D,20231030,000000,34714.59,34835.5,34133.9,34479.91,49801.099288445825,0
BTC.V,D,20231031,000000,34480.27,34730.2,34051.55,34573.67,46353.529794398484,0
BTC.V,D,20231101,000000,34573.66,35599.22,34107.63,35289.32,104311.85275877627,0
BTC.V,D,20231102,000000,35291.22,35994.65,34332.4,34793.33,91982.14944406589,0
BTC.V,D,20231103,000000,34793.33,34952.42,34123.07,34641.63,73665.18464996648,0
BTC.V,D,20231104,000000,34641.63,35204.56,34599.01,35180.39,31942.82658111806,0
BTC.V,D,20231105,000000,35177.82,35325.47,34482.79,34998.07,39707.72780805234,0
BTC.V,D,20231106,000000,34999.38,35375.85,34757.54,35125.56,40658.23027270436,0
BTC.V,D,20231107,000000,35125.56,35901.28,34535.49,35298.3,78472.9392947894,0
BTC.V,D,20231108,000000,35298.31,35958.62,35108.78,35791.54,65456.17872495438,0
BTC.V,D,20231109,000000,35793.65,37984.42,35552.79,36555.56,142118.89708425628,0
BTC.V,D,20231110,000000,36549.24,37513.96,36352.63,37376.04,70513.17980752427,0
BTC.V,D,20231111,000000,37371.14,37512.44,36728.97,36901.13,28256.39566640736,0
BTC.V,D,20231112,000000,36901.2,37239.5,36746.54,37170.89,25199.869117614206,0
BTC.V,D,20231113,000000,37170.89,37429.26,36341.73,36480.17,36202.28967479105,0
BTC.V,D,20231114,000000,36482.44,36751.52,34765.81,35613.62,48859.98642095193,0
BTC.V,D,20231115,000000,35610.12,37893.15,35366.25,37726.59,100808.6666897311,0
BTC.V,D,20231116,000000,37730.12,37977.43,35513.08,36221.56,97430.74272229601,0
BTC.V,D,20231117,000000,36225.08,36772.02,35873.1,36552.41,75421.99758323484,0
BTC.V,D,20231118,000000,36552.41,36857.61,36210.92,36524.23,29945.87219179654,0
BTC.V,D,20231119,000000,36523.88,37099.26,36361.78,36996.56,23262.19097600815,0
BTC.V,D,20231120,000000,36996.57,37764.73,36706.38,37454.96,75368.77757769063,0
BTC.V,D,20231121,000000,37454.45,37669.27,36276.4,36390.26,76234.23143442963,0
BTC.V,D,20231122,000000,36393.05,37872.46,35657.89,37457.31,90660.15790799883,0
BTC.V,D,20231123,000000,37455.97,37647.87,36895.76,37310.21,40946.05883244511,0
BTC.V,D,20231124,000000,37319.41,38428.21,37255.99,37711.95,77076.85508080212,0
BTC.V,D,20231125,000000,37711.95,37909.6,37610.83,37747.26,19782.108076161378,0
BTC.V,D,20231126,000000,37746,37835.81,37169.99,37667.55,33453.55893246882,0
BTC.V,D,20231127,000000,37667.55,37667.55,36716.16,37083.97,56996.15875871601,0
BTC.V,D,20231128,000000,37083.97,38396.64,36871.73,37883.05,72340.50284799247,0
BTC.V,D,20231129,000000,37884.94,38467.69,37584.29,37795.18,60069.578954796,0
BTC.V,D,20231130,000000,37795.18,38150.81,37510.52,37700.09,38973.40236395746,0
BTC.V,D,20231201,000000,37705.61,38996.86,37611.15,38719.33,79324.61722488032,0
BTC.V,D,20231202,000000,38719.33,39732.67,38660.54,39367.12,46238.65774069679,0
BTC.V,D,20231203,000000,39372.97,40223.78,39294.1,40075.14,39772.65455137587,0
BTC.V,D,20231204,000000,40077.17,42419.13,39793.9,41952.69,133044.49628690878,0
BTC.V,D,20231205,000000,41941.6,44493.07,41416.48,44290.72,120536.7732194925,0
BTC.V,D,20231206,000000,44290.72,44295.26,43390.78,43771.65,91151.9901709314,0
BTC.V,D,20231207,000000,43761.07,44046.4,42870.42,43151.1,74997.27020066958,0
BTC.V,D,20231208,000000,43151.11,44716.54,43093.75,44263.52,74162.38888062809,0
BTC.V,D,20231209,000000,44278.06,44369.11,43734.88,43911.56,40610.60026845758,0
BTC.V,D,20231210,000000,43903.42,44053.68,43605.92,43784.78,31043.527281080467,0
BTC.V,D,20231211,000000,43779.07,43848.19,40188.02,41267.29,139910.51564316702,0
BTC.V,D,20231212,000000,41267.28,42090.77,40645.84,41211.65,79445.11008132368,0
BTC.V,D,20231213,000000,41211.65,43448.85,40563.11,42972.29,87165.09518504867,0
BTC.V,D,20231214,000000,42972.29,43424.72,41784.82,43077.92,71816.07521766193,0
BTC.V,D,20231215,000000,43077.92,43187.47,41656.42,42064.92,54249.41953329035,0
BTC.V,D,20231216,000000,42064.92,42689.1,41625.15,42277.01,36206.86426832975,0
BTC.V,D,20231217,000000,42277.02,42373.15,41532.36,41674.88,38724.89365601984,0
BTC.V,D,20231218,000000,41674.89,42744.55,40515.1,42498.35,76321.53967960001,0
BTC.V,D,20231219,000000,42498.36,43465.05,41797.42,42312.04,71296.71636273566,0
